"","ID","bathymetry","TPI","sample","scientific","maxn","longitude","latitude"
"1608",1608,-63.8236236572266,-0.00767078530043364,8.06,"Holocentridae Myripristis botche",0,765215.02745971,7487802.6125547
"1609",1609,-65.5418014526367,0.148975670337677,8.07,"Holocentridae Myripristis botche",0,764832.138995991,7487896.80727465
"1610",1610,-99.5442276000977,-0.0393386706709862,8.12,"Holocentridae Myripristis botche",0,761695.080688299,7487518.1443205
"1611",1611,-117.573989868164,-0.0350268818438053,9.01,"Holocentridae Myripristis botche",0,760519.168204034,7487308.98960317
"1612",1612,-162.654724121094,-0.0211295951157808,9.02,"Holocentridae Myripristis botche",0,759027.631303557,7487207.02515307
"1613",1613,-136.033355712891,-0.0687120333313942,9.06,"Holocentridae Myripristis botche",0,760119.739825218,7488232.99807277
"1614",1614,-132.870834350586,-0.0665610581636429,9.07,"Holocentridae Myripristis botche",0,759427.087449943,7486283.04916743
"1615",1615,-178.383865356445,-0.0571325607597828,9.08,"Holocentridae Myripristis botche",0,758203.779415503,7486150.96938823
"1616",1616,-97.585807800293,0.104066781699657,10.01,"Holocentridae Myripristis botche",0,762667.658995623,7490100.15569396
"1617",1617,-99.3325729370117,0.0609821788966656,10.02,"Holocentridae Myripristis botche",0,762672.481205213,7490380.32767487
"1618",1618,-90.8180694580078,-0.144142180681229,10.03,"Holocentridae Myripristis botche",3,763340.653483073,7490878.37260373
"1619",1619,-161.060394287109,-0.0369151346385479,10.09,"Holocentridae Myripristis botche",0,763066.279616948,7495267.17920371
"1620",1620,-165.15934753418,0.00985708460211754,10.11,"Holocentridae Myripristis botche",0,763517.963020068,7496528.13186412
"1621",1621,NA,NA,10.12,"Holocentridae Myripristis botche",0,765014.537001473,7498893.50295101
"1622",1622,-82.1236267089844,-0.0755893811583519,10.13,"Holocentridae Myripristis botche",0,765062.805497171,7494255.3888656
