"campaignid","sample","family","genus","species","length","number","range"
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",264.08975,1,3094.40985
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",235.01938,1,3101.92636
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",278.82377,1,3012.06285
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",235.17823,1,3953.5005
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",244.66793,1,3115.39606
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",241.33677,1,3643.80474
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",170.48016,1,3837.05478
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",225.16924,1,3540.26892
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",265.06562,1,3056.86847
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",220.52009,1,3239.21943
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",182.24455,1,3699.58545
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",224.4888,1,3269.83609
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",222.0945,1,3654.45824
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",199.07754,1,3593.27391
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",206.2787,1,3284.89828
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",195.98737,1,3110.12915
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",250.34563,1,3091.00703
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",226.5196,1,3279.22455
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",255.73042,1,3444.95574
"2019-08_Ningaloo_stereo-BRUVs",3.03,"Carangidae","Decapterus","spp",231.61969,1,3312.16962
