"","sample","scientific","family","genus","species","number","length","site","FB.Length_MAX","MinLegal.WA","min.length","Fishing.mortality","Fishing.type","Cut.off","Size.Class"
"180",14.12,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,587.61342,14,1160,"410",174,"Y","C/R",118,"Legal"
"181",14.13,"Carcharhinidae Loxodon macrorhinus","Carcharhinidae","Loxodon","macrorhinus",1,652.83699,14,980,"None",147,"Y","C/R",NA,"Legal"
"182",14.13,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,351.30917,14,800,"280",120,"Y","C/R",80,"Legal"
"183",14.13,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,452.84412,14,800,"280",120,"Y","C/R",80,"Legal"
"184",14.13,"Lethrinidae Gymnocranius grandoculis","Lethrinidae","Gymnocranius","grandoculis",1,395.78518,14,800,"280",120,"Y","C/R",80,"Legal"
"185",14.13,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,451.7377,14,900,"280",135,"Y","C/R",72.5,"Legal"
"186",14.13,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,325.4777,14,900,"280",135,"Y","C/R",72.5,"Legal"
"187",14.13,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,416.32099,14,900,"280",135,"Y","C/R",72.5,"Legal"
"188",14.13,"Lethrinidae Lethrinus miniatus","Lethrinidae","Lethrinus","miniatus",1,340.58084,14,900,"280",135,"Y","C/R",72.5,"Legal"
"189",14.13,"Lethrinidae Lethrinus punctulatus","Lethrinidae","Lethrinus","punctulatus",1,405.05649,14,520,"280",78,"Y","C/R",101,"Legal"
"190",14.13,"Lutjanidae Lutjanus sebae","Lutjanidae","Lutjanus","sebae",1,635.83401,14,1160,"410",174,"Y","C/R",118,"Legal"
"191",14.13,"Serranidae Epinephelus multinotatus","Serranidae","Epinephelus","multinotatus",1,791.07685,14,1000,"None",150,"Y","C/R",NA,"Legal"
